weightclass,Weight In Kg,Average Submissions Attempted Per 15 Minutes,Average Takedowns Landed Per 15 Minutes,Date Of Birth,Draws,Height Cm,Losses,Name,Nickname,Reach In Cm,Significant Strike Defence,Significant Strikes Absorbed Per Minute,Significant Strikes Landed Per Minute,Significant Striking Accuracy,Stance,Takedown Accuracy,Takedown Defense,Wins
Featherweight (61.3–65.8 kg),61.23,0.2,0.91,5/25/1991,1,175.26,4,Albert Morales,"""The Warrior""",182.88,56,3.96,3.81,35,Orthodox,35,70,7
Light Heavyweight (84.0–93.0 kg),83.91,0,1.38,6/8/1971,1,175.26,15,Marvin Eastman,"""The Beastman""",185.42,42,3.92,2.21,35,Orthodox,33,81,18
Middleweight (77.2–83.9 kg),77.11,0.4,1.06,4/7/1982,1,175.26,7,Tyron Woodley,"""The Chosen One""",187.96,54,2.76,2.36,48,Orthodox,40,87,19
Light Heavyweight (84.0–93.0 kg),83.91,0,1,3/10/1986,1,175.26,4,Abu Azaitar,"""Captain Morocco""",193.04,51,4.32,4.38,43,Orthodox,37,42,14
Light Heavyweight (84.0–93.0 kg),83.91,0,0,10/6/1977,1,177.8,5,Rodrigo Ruas,,,41,7,1.28,35,Orthodox,0,0,4
Welterweight (70.4–77.1 kg),70.31,0,0,3/25/1989,1,177.8,7,Ben Wall,"""Manimal""",,29,8.53,1.47,29,Orthodox,0,100,8
Middleweight (77.2–83.9 kg),77.11,0,0.41,2/9/1977,1,177.8,7,Tiki Ghosn,,,58,2.94,2.78,46,Orthodox,50,61,10
Middleweight (77.2–83.9 kg),77.11,0,0,8/30/1990,1,177.8,3,Leonardo Damiani,,175.26,37,4.17,1.67,23,Orthodox,0,50,10
Featherweight (61.3–65.8 kg),65.77,0,0.29,4/10/1991,1,177.8,4,Dooho Choi,"""The Korean Superboy""",177.8,54,4.91,4.74,53,Orthodox,20,50,14
Welterweight (70.4–77.1 kg),70.31,0.2,0.63,4/30/1987,1,177.8,7,Al Iaquinta,"""Raging""",177.8,61,4.53,4.06,40,Orthodox,18,74,14
Featherweight (61.3–65.8 kg),61.23,0,0,1/20/1990,1,177.8,4,Liudvik Sholinian,,180.34,55,5.67,2.5,30,Orthodox,0,66,9
Featherweight (61.3–65.8 kg),61.23,0,1.83,1/6/1983,1,177.8,13,Johnny Bedford,"""Brutal""",180.34,63,1.75,4.53,50,Orthodox,62,62,21
Welterweight (70.4–77.1 kg),70.31,0.3,1.2,9/9/1986,1,177.8,15,Bobby Green,"""King""",180.34,62,3.74,6.14,52,Orthodox,37,74,31
Heavyweight (>=93.1 kg),120.2,0.2,0.51,3/23/1974,1,177.8,14,Mark Hunt,"""Super Samoan""",182.88,51,2.9,2.81,43,Orthodox,55,64,13
Welterweight (70.4–77.1 kg),70.31,0,2.82,7/12/1990,1,177.8,6,Cody Pfister,"""The Fist""",185.42,51,2.8,1.41,25,Orthodox,30,0,13
Light Heavyweight (84.0–93.0 kg),92.99,0,0,,1,180.34,4,Joel Sutton,,,0,0,0,0,Orthodox,0,0,2
Light Heavyweight (84.0–93.0 kg),92.99,0,0,3/28/1967,1,180.34,5,Yoji Anjo,"""Mr. 200%""",,25,3.13,0,0,Orthodox,0,0,0
Middleweight (77.2–83.9 kg),77.11,0,0,,1,180.34,6,Brad Gumm,,,0,0,0,0,Orthodox,0,0,10
Middleweight (77.2–83.9 kg),77.11,0,0,5/6/1982,1,180.34,6,Luiz Dutra,"""Besouro""",,41,4.8,3.92,50,Orthodox,0,100,13
Welterweight (70.4–77.1 kg),70.31,0,0,7/30/1984,1,180.34,6,Steve Lopez,,,62,2.69,1.39,24,Orthodox,0,37,13
Middleweight (77.2–83.9 kg),77.11,0,0,12/2/1973,1,180.34,21,Laverne Clark,,,0,0,0,0,Orthodox,0,0,27
Welterweight (70.4–77.1 kg),70.31,0,0,1/8/1992,1,180.34,3,Viacheslav Borshchev,"""Slava Claus""",175.26,56,4.07,5.82,58,Orthodox,0,36,7
Welterweight (70.4–77.1 kg),70.31,0,7.3,9/17/1990,1,180.34,5,Loik Radzhabov,"""The Tajik Tank""",175.26,46,5.31,2.61,42,Orthodox,52,50,17
Middleweight (77.2–83.9 kg),77.11,0,3,1/31/1992,1,180.34,4,Bassil Hafez,"""The Habibi """,182.88,39,5.53,2.13,25,Orthodox,15,50,8
Light Heavyweight (84.0–93.0 kg),83.91,0,0,6/22/1989,1,180.34,4,Henrique Shiguemoto,,182.88,16,6,3.6,33,Orthodox,0,50,13
Middleweight (77.2–83.9 kg),77.11,0,1.25,11/13/1989,1,180.34,4,Abubakar Nurmagomedov,,182.88,65,2.61,2.78,53,Orthodox,22,88,17
Welterweight (70.4–77.1 kg),70.31,0,0,8/16/1987,1,180.34,7,Mickael Lebout,"""Ragnar""",185.42,54,2.98,2.6,34,Orthodox,0,60,16
Featherweight (61.3–65.8 kg),65.77,0.2,0.64,1/27/1991,1,180.34,7,Luis Saldana,,185.42,60,3.65,5.16,50,Orthodox,17,44,16
Middleweight (77.2–83.9 kg),77.11,0.4,0.43,12/11/1986,1,180.34,7,Elizeu Zaleski dos Santos,"""Capoeira""",185.42,57,3.33,4.52,42,Orthodox,13,68,24
Middleweight (77.2–83.9 kg),77.11,0.3,1.32,4/17/1984,1,180.34,8,Siyar Bahadurzada,"""The Great""",185.42,49,3.23,2.91,40,Orthodox,61,62,24
Middleweight (77.2–83.9 kg),77.11,0.1,1.11,11/16/1984,1,180.34,4,Nicolas Dalby,"""Danish Dynamite""",187.96,52,3.43,4.03,43,Orthodox,30,60,23
Middleweight (77.2–83.9 kg),77.11,0,0,5/30/1991,1,180.34,3,Martin Sano,"""Spartan""",190.5,40,12,4,33,Orthodox,0,0,4
Welterweight (70.4–77.1 kg),70.31,0.2,1.54,4/21/1984,1,180.34,13,Kajan Johnson,"""Ragin'""",190.5,64,1.59,2.47,42,Orthodox,37,62,23
Light Heavyweight (84.0–93.0 kg),83.91,0,4.46,5/25/1986,1,182.88,1,Jimmy Quinlan,"""Crash""",,16,5.94,2.08,70,Orthodox,25,0,3
Welterweight (70.4–77.1 kg),70.31,0,0.8,4/16/1986,1,182.88,2,Pat Audinwood,"""Awesomely Awesome""",,41,4.31,1.17,12,Orthodox,50,0,11
Welterweight (70.4–77.1 kg),70.31,0,0.7,6/8/1979,1,182.88,3,Jason Novelli,"""Pepsi""",,66,3.55,1.73,24,Orthodox,33,100,11
Light Heavyweight (84.0–93.0 kg),83.91,0,1.51,8/28/1980,1,182.88,5,Jesse Bongfeldt,"""Water""",,50,1.01,2.91,62,Orthodox,33,33,16
Light Heavyweight (84.0–93.0 kg),83.91,0,0,11/10/1975,1,182.88,6,Crafton Wallace,"""Blaze""",,47,2.36,1.55,44,Orthodox,0,42,18
Middleweight (77.2–83.9 kg),77.11,0.3,1.57,10/25/1981,1,182.88,15,Keith Wisniewski,"""The Polish Connection""",,42,4.86,2.32,52,Orthodox,40,78,28
Light Heavyweight (84.0–93.0 kg),83.91,0,0,7/19/1986,1,182.88,6,Elvis Mutapcic,"""The King""",182.88,38,4.27,3.41,40,Orthodox,0,81,15
Light Heavyweight (84.0–93.0 kg),92.99,0,1.19,3/22/1972,1,182.88,15,Houston Alexander,"""The Assassin""",182.88,52,3.2,3.06,54,Orthodox,57,33,17
Light Heavyweight (84.0–93.0 kg),83.91,0,1.99,6/25/1983,1,182.88,2,Marcelo Guimaraes,,185.42,62,4.41,4.67,51,Orthodox,13,0,9
Light Heavyweight (84.0–93.0 kg),83.91,0.2,2.58,10/12/1987,1,182.88,6,Omari Akhmedov,"""Wolverine""",185.42,55,2.84,2.97,34,Orthodox,45,65,21
Light Heavyweight (84.0–93.0 kg),92.99,0,0,6/9/1988,1,182.88,0,Ivan Shtyrkov,"""Ural Hulk""",187.96,0,0,0,0,Orthodox,0,0,15
Middleweight (77.2–83.9 kg),77.11,0.3,4.25,9/28/1991,1,182.88,1,Rinat Fakhretdinov,"""Gladiator""",187.96,52,2.16,4.05,56,Orthodox,46,100,21
Middleweight (77.2–83.9 kg),77.11,0.3,0.32,6/17/1993,1,182.88,3,Luan Chagas,"""Tarzan""",190.5,62,3.19,4.16,47,Orthodox,12,85,15
Middleweight (77.2–83.9 kg),77.11,0,0.27,2/11/1983,1,182.88,6,Stephen Thompson,"""Wonderboy""",190.5,55,3.04,4.2,45,Orthodox,41,64,17
Welterweight (70.4–77.1 kg),70.31,0.2,0.88,2/5/1980,1,182.88,7,Leonardo Santos,,190.5,54,3.4,2.82,46,Orthodox,25,86,18
Light Heavyweight (84.0–93.0 kg),92.99,0,2.98,9/25/1979,1,182.88,8,Rashad Evans,"""Suga""",190.5,63,2.42,2.14,37,Orthodox,44,73,19
Light Heavyweight (84.0–93.0 kg),92.99,0.3,0.62,10/18/1987,1,182.88,3,Alonzo Menifield,"""Atomic""",193.04,52,3.09,3.82,57,Orthodox,30,75,14
Light Heavyweight (84.0–93.0 kg),83.91,0,2,10/12/1989,1,185.42,3,Collin Hart,,,51,7.53,6.33,44,Orthodox,16,50,6
Heavyweight (>=93.1 kg),120.2,0,0,12/17/1978,1,185.42,3,Scott Junk,,,45,1.81,5.13,60,Orthodox,0,0,8
Light Heavyweight (84.0–93.0 kg),92.99,0,0,2/24/1965,1,185.42,4,Bas Rutten,,,79,2.06,5.59,61,Orthodox,0,0,28
Heavyweight (>=93.1 kg),102.06,0,0,6/21/1965,1,185.42,6,Tim Lajcik,"""The Bohemian""",,0,0,0,0,Orthodox,0,0,7
Heavyweight (>=93.1 kg),106.59,0,0.82,6/28/1978,1,185.42,7,Justin Eilers,,,49,5.66,2.86,43,Orthodox,25,50,19
Featherweight (61.3–65.8 kg),61.23,0.1,1.05,11/10/1981,1,185.42,13,George Roop,,182.88,60,2.47,3.43,34,Orthodox,57,59,15
Middleweight (77.2–83.9 kg),77.11,0,0.76,5/19/1992,1,185.42,6,Sergey Khandozhko,"""Honda""",187.96,60,2.37,3.41,41,Orthodox,28,61,28
Light Heavyweight (84.0–93.0 kg),92.99,0.4,3.55,1/22/1982,1,185.42,5,Tomasz Drwal,"""Gorilla""",193.04,57,2.26,3.29,38,Orthodox,60,82,21
Welterweight (70.4–77.1 kg),70.31,0,0.2,5/13/1988,1,185.42,5,Jai Herbert,"""Black Country Banger""",195.58,45,3.15,2.69,41,Orthodox,10,57,12
Heavyweight (>=93.1 kg),156.49,0,0,2/24/1965,1,187.96,2,Andre Roberts,,,0,0,0,0,Orthodox,0,0,14
Heavyweight (>=93.1 kg),113.4,0,0,,1,187.96,5,Dave Beneteau,,,0,0,0,0,Orthodox,0,0,6
Heavyweight (>=93.1 kg),105.69,0,0.87,2/7/1965,1,187.96,5,Tra Telligman,"""Trauma""",,56,3.02,1.83,35,Orthodox,100,80,7
Light Heavyweight (84.0–93.0 kg),83.91,0.3,0.62,1/25/1983,1,187.96,7,Tor Troeng,"""The Hammer""",,32,3.26,1.16,46,Orthodox,7,66,16
Light Heavyweight (84.0–93.0 kg),92.99,0,0,8/2/1991,1,187.96,10,Tanner Boser,"""The Bulldozer""",190.5,58,2.75,4.7,52,Orthodox,0,63,21
Middleweight (77.2–83.9 kg),77.11,0.2,1.16,2/20/1984,1,187.96,15,Tim Means,"""The Dirty Bird""",190.5,60,3.65,5.1,49,Orthodox,42,65,33
Middleweight (77.2–83.9 kg),77.11,0,5.84,10/30/1986,1,187.96,2,Adlan Amagov,"""Borz""",193.04,78,0.82,3.29,47,Orthodox,56,100,14
Middleweight (77.2–83.9 kg),77.11,0,0,9/10/1995,1,187.96,5,Rhys McKee,"""Skelator""",198.12,44,9.47,6.06,48,Orthodox,0,33,10
Light Heavyweight (84.0–93.0 kg),83.91,0,0.61,9/2/1990,1,187.96,6,Abus Magomedov,,198.12,54,5.36,3.73,42,Orthodox,50,100,25
Heavyweight (>=93.1 kg),102.97,0,0,9/16/1968,1,190.5,4,Roberto Traven,,,57,2.77,0.92,50,Orthodox,0,0,6
Heavyweight (>=93.1 kg),120.2,0,0.51,10/15/1983,1,190.5,1,Jarjis Danho,"""Man Mountain""",187.96,49,5.25,3.38,50,Orthodox,16,100,7
Light Heavyweight (84.0–93.0 kg),92.99,0,1.07,6/2/1992,1,190.5,1,Magomed Ankalaev,,190.5,58,2.2,3.56,52,Orthodox,31,86,18
Light Heavyweight (84.0–93.0 kg),92.99,0,0.4,4/4/1988,1,190.5,7,Dustin Jacoby,"""The Hanyak""",193.04,59,4.02,5.46,46,Orthodox,25,60,19
Heavyweight (>=93.1 kg),120.2,0,0.23,5/9/1991,1,190.5,5,Augusto Sakai,,195.58,48,3.83,4.6,49,Orthodox,40,56,16
Middleweight (77.2–83.9 kg),77.11,0.2,0.23,1/16/1985,1,190.5,7,Hyun Gyu Lim,"""The Ace""",195.58,51,5.07,4.45,41,Orthodox,100,73,13
Heavyweight (>=93.1 kg),117.93,0,3.28,9/28/1993,1,193.04,1,Richard Jacobi,,190.5,51,3.94,0.88,44,Orthodox,100,100,6
Heavyweight (>=93.1 kg),108.86,0,4.09,10/3/1992,1,193.04,2,Rizvan Kuniev,,193.04,51,1.55,7.09,73,Orthodox,75,0,11
Heavyweight (>=93.1 kg),112.49,0,0,5/3/1992,1,193.04,3,Edivan Santos,,198.12,26,7.09,1.55,48,Orthodox,0,25,12
Light Heavyweight (84.0–93.0 kg),92.99,0.2,1.9,12/7/1993,1,193.04,5,Da Woon Jung,"""Sseda""",198.12,51,3.89,3.49,43,Orthodox,50,77,15
Heavyweight (>=93.1 kg),120.2,0,0,7/1/1980,1,195.58,3,Christian Colombo,"""Godzilla""",,42,4.02,2.76,44,Orthodox,0,33,8
Light Heavyweight (84.0–93.0 kg),92.99,0,0,2/19/1984,1,195.58,3,Ednaldo Oliveira,"""Lula""",,52,1.8,1.03,22,Orthodox,0,42,17
Heavyweight (>=93.1 kg),115.67,0.2,1.21,7/17/1982,1,198.12,7,Travis Browne,"""Hapa""",200.66,42,4.31,2.93,41,Orthodox,68,75,18
Heavyweight (>=93.1 kg),111.13,0,0,,1,203.2,1,Rafael Carino,,,0,0,0,0,Orthodox,0,0,2
Flyweight (≤56.7 kg),56.7,0.3,2.57,3/16/1990,2,162.56,5,Bruno Silva,"""Blindado""",165.1,59,3.09,3.05,46,Orthodox,30,64,13
Flyweight (≤56.7 kg),56.7,0.3,2.57,3/16/1990,2,162.56,5,Bruno Silva,"""Bulldog""",165.1,59,3.09,3.05,46,Orthodox,30,64,13
Featherweight (61.3–65.8 kg),61.23,0,1.82,12/14/1991,2,165.1,9,Alatengheili,"""The Mongolian Knight""",167.64,58,5.03,2.88,33,Orthodox,40,72,16
Welterweight (70.4–77.1 kg),70.31,0,0,,2,170.18,9,Paul Rodriguez,,,68,1.68,0.84,100,Orthodox,0,50,10
Welterweight (70.4–77.1 kg),70.31,0,0,1/13/1976,2,170.18,10,Leigh Remedios,"""The British Brawler""",,68,1.36,0.75,41,Orthodox,0,33,18
Welterweight (70.4–77.1 kg),76.2,0.3,1.87,8/24/1975,2,170.18,13,Hayato Sakurai,"""Mach""",,59,1.94,2.45,49,Orthodox,69,56,38
Welterweight (70.4–77.1 kg),70.31,0.1,1.36,5/5/1981,2,170.18,10,Mizuto Hirota,"""Pugnus""",170.18,54,3.5,3.36,40,Orthodox,50,58,18
Featherweight (61.3–65.8 kg),61.23,0.1,1.46,12/16/1983,2,170.18,11,Takeya Mizugaki,,175.26,57,3.27,3.37,37,Orthodox,57,70,21
Featherweight (61.3–65.8 kg),65.77,0.3,4.2,4/28/1989,2,170.18,5,Enrique Barzola,"""El Fuerte""",177.8,68,2.97,3.91,41,Orthodox,45,66,17
Welterweight (70.4–77.1 kg),70.31,0,0,3/22/1967,2,172.72,1,Andre Pederneiras,,,0,0,0,0,Orthodox,0,0,1
Featherweight (61.3–65.8 kg),61.23,0,0,7/21/1992,2,172.72,2,Filip Pejic,"""Nitro""",,33,0.88,0,0,Orthodox,0,0,12
Middleweight (77.2–83.9 kg),77.11,0,1.5,1/18/1981,2,172.72,10,Luis Ramos,"""Beicao""",,42,5.6,2.4,35,Orthodox,20,100,20
Middleweight (77.2–83.9 kg),77.11,0,0.54,8/5/1973,2,172.72,19,Jorge Patino,,,53,3.14,1.33,30,Orthodox,25,50,38
Welterweight (70.4–77.1 kg),70.31,0,2.07,8/27/1972,2,172.72,5,Kamal Shalorus,"""Prince of Persia""",172.72,70,2.99,3.06,32,Orthodox,50,80,9
Featherweight (61.3–65.8 kg),61.23,0.1,0.34,4/22/1991,2,175.26,5,Chris Gutierrez,"""El Guapo""",170.18,65,2.73,5.04,57,Orthodox,37,71,20
Welterweight (70.4–77.1 kg),70.31,0.3,1.09,3/14/1992,2,175.26,7,Lando Vannata,"""Groovy""",180.34,55,4.76,4.52,45,Orthodox,37,69,12
Welterweight (70.4–77.1 kg),70.31,0.2,1.3,3/30/1983,2,175.26,18,Melvin Guillard,"""The Young Assassin""",180.34,66,1.85,2.96,40,Orthodox,63,61,32
Middleweight (77.2–83.9 kg),77.11,0,0.91,2/21/1983,2,175.26,15,Paul Daley,"""Semtex""",193.04,60,2.37,3.14,47,Orthodox,40,64,39
Light Heavyweight (84.0–93.0 kg),92.99,0,5.07,11/27/1971,2,177.8,9,Homer Moore,"""The Rock""",,0,0.68,0.68,50,Orthodox,66,0,26
Middleweight (77.2–83.9 kg),77.11,0.3,1.59,5/1/1981,2,177.8,7,Kiichi Kunimoto,"""Strasser""",180.34,41,3.92,1.87,44,Orthodox,20,28,18
Middleweight (77.2–83.9 kg),77.11,0,1.81,9/21/1970,2,180.34,26,Ronald Jhun,"""The Machine Gun""",,50,3.01,1.45,57,Orthodox,100,100,24
Middleweight (77.2–83.9 kg),77.11,0,0.75,9/11/1982,2,180.34,4,Gasan Umalatov,"""Cobra""",180.34,59,4.1,2.23,39,Orthodox,17,90,17
Welterweight (70.4–77.1 kg),70.31,0,0,11/9/1981,2,180.34,11,Andre Winner,,185.42,51,4.57,2.52,33,Orthodox,0,74,21
Heavyweight (>=93.1 kg),95.25,0,0,8/26/1967,2,182.88,5,Oleg Taktarov,,,0,0,0,0,Orthodox,0,0,17
Middleweight (77.2–83.9 kg),77.11,0.3,0,7/11/1976,2,182.88,12,Kenichi Yamamoto,,,38,1.93,0.3,46,Orthodox,0,10,5
Light Heavyweight (84.0–93.0 kg),90.26,0,0,,2,185.42,1,Igor Zinoviev,,,0,0,0,0,Orthodox,0,0,4
Heavyweight (>=93.1 kg),95.25,0,0,1/23/1961,2,185.42,4,Marco Ruas,,,0,0,0,0,Orthodox,0,0,9
Light Heavyweight (84.0–93.0 kg),90.72,0,0.39,1/1/1968,2,185.42,14,Guy Mezger,,,72,1.36,2.3,32,Orthodox,50,88,30
Middleweight (77.2–83.9 kg),77.11,0,0,8/7/1972,2,185.42,20,Brian Gassaway,"""Mandingo""",,44,3.65,0.34,26,Orthodox,0,42,29
Heavyweight (>=93.1 kg),102.06,0,1.28,2/18/1976,2,185.42,5,Justin McCully,"""The Nsane1""",185.42,46,2.02,1.58,37,Orthodox,44,43,11
Light Heavyweight (84.0–93.0 kg),83.91,0,0.43,9/12/1976,2,187.96,22,Yuki Sasaki,,,57,1.2,1.09,43,Orthodox,100,66,25
Heavyweight (>=93.1 kg),102.06,0,0,4/26/1965,2,190.5,20,Sam Adkins,,,0,0,0,0,Orthodox,0,0,7
Heavyweight (>=93.1 kg),108.86,0.2,2.3,5/17/1975,2,193.04,10,Cheick Kongo,,208.28,54,1.28,3.33,56,Orthodox,56,52,27
Light Heavyweight (84.0–93.0 kg),83.91,0,11.69,11/19/1993,2,195.58,8,Nursulton Ruziboev,"""Black""",193.04,40,2.34,4.68,66,Orthodox,100,0,35
Welterweight (70.4–77.1 kg),72.57,0,0,10/8/1977,3,167.64,12,Jean Silva,"""Lord Assassin""",,52,2.93,0.73,22,Orthodox,0,0,19
Welterweight (70.4–77.1 kg),70.31,0,1.27,9/9/1988,3,180.34,11,Dong Hyun Ma,"""Maestro""",177.8,54,4.1,2.84,41,Orthodox,53,33,16
Light Heavyweight (84.0–93.0 kg),90.26,0,0,10/17/1977,3,182.88,5,Joe Slick,,,0,0,0,0,Orthodox,0,0,16
Light Heavyweight (84.0–93.0 kg),92.99,0,0,5/19/1968,3,185.42,6,Satoshi Honma,,,0,0,0,0,Orthodox,0,0,4
Light Heavyweight (84.0–93.0 kg),92.99,0,2.4,7/6/1987,3,190.5,8,Hans Stringer,,,41,2.84,3.16,61,Orthodox,36,62,22
Welterweight (70.4–77.1 kg),70.31,0,0,7/22/1971,4,167.64,2,Joao Roque,,,0,0,0,0,Orthodox,0,0,7
Light Heavyweight (84.0–93.0 kg),90.26,0,0,2/26/1968,4,180.34,9,John Lober,,,0,0,0,0,Orthodox,0,0,5
Welterweight (70.4–77.1 kg),70.31,0,0,12/6/2002,6,170.18,3,Yamato Nishikawa,,,0,0,0,0,Orthodox,0,0,21
Middleweight (77.2–83.9 kg),77.11,0,0,5/31/1977,10,172.72,10,Koji Oishi,,,43,17.86,1.43,9,Orthodox,0,0,25
Heavyweight (>=93.1 kg),108.86,0,0,5/29/1977,10,182.88,53,Travis Fulton,,,0,0,0,0,Orthodox,0,0,253
Featherweight (61.3–65.8 kg),61.23,0,0,1/31/1985,11,165.1,18,Shunichi Shimizu,"""RollingStar""",,30,4.68,0.14,33,Orthodox,0,0,30
Light Heavyweight (84.0–93.0 kg),90.72,0,0,,0,180.34,2,Keith Hackney,,,0,0,0,0,Sideways,0,0,2
Heavyweight (>=93.1 kg),185.97,0,0,,0,185.42,1,Thomas Ramirez,,,0,0,0,0,Sideways,0,0,0
Flyweight (≤56.7 kg),56.7,0,2,1/18/1995,0,160.02,2,Santo Curatolo,,157.48,34,6.07,1.4,39,Southpaw,33,100,6
Flyweight (≤56.7 kg),56.7,0,2.72,2/17/1995,0,160.02,2,Juancamilo Ronderos,"""100""",162.56,63,2.18,2.18,30,Southpaw,33,0,4
Flyweight (≤56.7 kg),56.7,0.3,3.71,4/19/1983,0,162.56,8,Zach Makovsky,"""Fun Size""",162.56,62,2.24,1.94,43,Southpaw,30,56,20
Flyweight (≤56.7 kg),56.7,0,3.5,11/6/1997,0,162.56,2,Mark Climaco,,165.1,57,2.9,4.13,59,Southpaw,36,46,9
Featherweight (61.3–65.8 kg),61.23,0,0.41,3/15/1977,0,162.56,6,Norifumi Yamamoto,"""Kid""",167.64,57,2.01,2.09,45,Southpaw,22,45,18
Featherweight (61.3–65.8 kg),61.23,0,0.56,4/6/1985,0,162.56,7,Marcus Brimage,"""The Bama Beast""",180.34,56,3.64,3.97,35,Southpaw,100,80,7
Featherweight (61.3–65.8 kg),61.23,0,1,4/29/1983,0,165.1,4,Tim Gorman,"""The Psycho""",,46,5.57,2.73,31,Southpaw,9,33,9
Flyweight (≤56.7 kg),56.7,0,1,11/7/1991,0,165.1,4,Rama Supandhi,,167.64,48,3.53,2.2,42,Southpaw,11,0,8
Flyweight (≤56.7 kg),56.7,0,2.72,8/15/1992,0,165.1,5,Top Noi Kiwram,"""""Tiger Muay Thai""""",170.18,66,3.23,4.47,59,Southpaw,85,74,9
Flyweight (≤56.7 kg),56.7,0,1.37,8/28/1996,0,165.1,2,Carls John De Tomas,"""CJ""",180.34,44,3.93,1.74,37,Southpaw,33,66,6
Welterweight (70.4–77.1 kg),70.31,0,5.37,6/4/1970,0,167.64,1,Paul Creighton,,,30,4.65,0.72,75,Southpaw,37,0,3
Flyweight (≤56.7 kg),56.7,0,0,3/13/1990,0,167.64,2,Oleksandr Doskalchuk,,,0,0,0,0,Southpaw,0,0,10
Featherweight (61.3–65.8 kg),65.77,0,2.71,7/31/1981,0,167.64,10,Wagner Campos,"""Galeto""",,51,2.53,1.54,41,Southpaw,100,0,12
Flyweight (≤56.7 kg),56.7,0,0,9/26/1985,0,167.64,3,Nick Urso,,167.64,36,5.06,3.61,45,Southpaw,0,0,10
Welterweight (70.4–77.1 kg),70.31,0,0.86,4/24/1984,0,167.64,5,Nick Hein,"""Sergeant""",167.64,59,3.61,2.65,35,Southpaw,33,83,14
Flyweight (≤56.7 kg),56.7,0,0.54,9/15/1985,0,167.64,3,Ashkan Mokhtarian,"""The Assassin""",170.18,43,3.66,1.95,43,Southpaw,16,33,13
Featherweight (61.3–65.8 kg),61.23,0.2,0.71,12/12/1985,0,167.64,5,Luke Sanders,"""Cool Hand""",170.18,50,4.37,6.61,52,Southpaw,30,72,13
Featherweight (61.3–65.8 kg),61.23,0,1,2/14/1989,0,167.64,6,Irwin Rivera,"""The Beast""",170.18,57,5.07,3.36,44,Southpaw,16,70,10
Featherweight (61.3–65.8 kg),61.23,0.4,2.27,12/19/1979,0,167.64,8,Guido Cannetti,"""Ninja""",172.72,51,2.84,3.44,55,Southpaw,55,64,10
Featherweight (61.3–65.8 kg),61.23,0,0.75,1/25/1984,0,167.64,6,Mike Easton,"""The Hulk""",177.8,61,4.28,3.51,37,Southpaw,22,66,13
Heavyweight (>=93.1 kg),99.79,0,0,,0,170.18,1,Greg Stott,,,0,0,0,0,Southpaw,0,0,0
Welterweight (70.4–77.1 kg),70.31,0,1.36,11/16/1989,0,170.18,3,Yusuke Kasuya,,,48,4.34,2.17,44,Southpaw,33,0,9
Light Heavyweight (84.0–93.0 kg),83.91,0,0,9/28/1976,0,170.18,5,Jordan Radev,,,66,2.38,1.35,23,Southpaw,0,80,23
Featherweight (61.3–65.8 kg),61.23,0,0,5/11/1986,0,170.18,7,Joseph Sandoval,,,60,12.12,1.82,42,Southpaw,0,0,7
Featherweight (61.3–65.8 kg),65.77,0.3,4.47,10/31/1980,0,170.18,7,Waylon Lowe,,,53,2.4,1.88,55,Southpaw,55,83,16
Featherweight (61.3–65.8 kg),61.23,0,3.23,8/8/1989,0,170.18,2,Armando Villarreal,"""La Lumbre""",167.64,52,4.3,3.23,55,Southpaw,25,0,5
Featherweight (61.3–65.8 kg),61.23,0,0,10/10/1992,0,170.18,2,Richie Santiago,"""The Milford Mauler""",170.18,42,4.87,3.87,49,Southpaw,0,25,7
Middleweight (77.2–83.9 kg),77.11,0,0,11/13/1998,0,170.18,0,Josiah Harrell,"""Muscle Hamster """,172.72,0,0,0,0,Southpaw,0,0,7
Flyweight (≤56.7 kg),56.7,0,0,2/15/1988,0,170.18,0,Pietro Menga,"""The Italian Stallion""",172.72,0,0,0,0,Southpaw,0,0,13
Featherweight (61.3–65.8 kg),65.77,0,0,3/22/1989,0,170.18,5,Lazar Stojadinovic,,172.72,59,1.97,1.82,29,Southpaw,0,0,12
Featherweight (61.3–65.8 kg),61.23,0,0,8/9/1992,0,170.18,6,Kris Moutinho,,172.72,28,15.48,4.86,32,Southpaw,0,0,9
Featherweight (61.3–65.8 kg),61.23,0,2.4,5/17/1996,0,170.18,6,Muin Gafurov,"""Tajik""",172.72,48,2.95,2.98,41,Southpaw,26,62,18
Welterweight (70.4–77.1 kg),70.31,0,0,8/7/1983,0,170.18,4,Henry Martinez,"""Sicario""",175.26,60,4.01,2.79,25,Southpaw,0,80,9
Featherweight (61.3–65.8 kg),65.77,0,0,12/14/1989,0,170.18,7,Zach Zane,"""Dub-Z""",175.26,20,6.67,0.87,56,Southpaw,0,26,10
Flyweight (≤56.7 kg),56.7,0,2,2/2/1995,0,170.18,0,Azat Maksum,"""Qazaq""",177.8,61,5.4,3.07,24,Southpaw,18,0,17
Featherweight (61.3–65.8 kg),65.77,0,0.17,7/31/1991,0,170.18,5,Thomas Almeida,"""Thominhas""",177.8,61,4.93,4.84,43,Southpaw,14,75,22
Flyweight (≤56.7 kg),56.7,0,0.38,7/24/1996,0,170.18,6,Vinicius Salvador,,177.8,49,6.05,5.44,42,Southpaw,11,86,14
